,Участок,Swamp
0,ГТМ.001.01,0
1,ГТМ.002.01,1
2,ГТМ.002.02,1
3,ГТМ.002.03,1
4,ГТМ.003.01,0
5,ГТМ.003.02,0
6,ГТМ.004.01,1
7,ГТМ.005.01,0
8,ГТМ.006.01,0
9,ГТМ.007.01,0
10,ГТМ.008.01,0
11,ГТМ.009.01,0
12,ГТМ.010.01,0
13,ГТМ.011.01,2
14,ГТМ.012.01,0
15,ГТМ.013.01,0
16,ГТМ.014.01,0
17,ГТМ.015.01,0
18,ГТМ.016.01,0
19,ГТМ.017.01,2
20,ГТМ.018.01,0
21,ГТМ.019.01,0
22,ГТМ.020.01,2
23,ГТМ.021.01,0
24,ГТМ.022.01,2
25,ГТМ.023.01,2
26,ГТМ.024.01,2
27,ГТМ.025.01,2
28,ГТМ.026.01,1
29,ГТМ.027.01,1
30,ГТМ.028.01,1
31,ГТМ.029.01,0
32,ГТМ.030.01,2
33,ГТМ.031.01,2
34,ГТМ.032.01,1
35,ГТМ.032.02,2
36,ГТМ.032.03,2
37,ГТМ.032.04,2
38,ГТМ.033.01,2
39,ГТМ.033.02,2
40,ГТМ.033.03,2
41,ГТМ.033.04,2
42,ГТМ.033.05,2
43,ГТМ.033.06,2
44,ГТМ.034.01,2
45,ГТМ.034.02,2
46,ГТМ.034.03,1
47,ГТМ.035.01,2
48,ГТМ.035.02,2
49,ГТМ.035.03,2
50,ГТМ.035.04,2
51,ГТМ.035.05,2
52,ГТМ.036.01,2
53,ГТМ.036.02,2
54,ГТМ.036.03,2
55,ГТМ.036.04,2
56,ГТМ.036.05,2
57,ГТМ.036.06,2
58,ГТМ.036.07,0
59,ГТМ.036.08,0
60,ГТМ.036.09,0
61,ГТМ.036.10,0
